"x","y","z","ROI","SystemLabel","SystemName","Color","r","g","b","Anatomy","Lobe"
32.5409622192383,-31.169412612915,4.39798974990845,57,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Cerebral White Matter",NA
48.9191780090332,-38.4485778808594,-0.123428583145142,58,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Central Operculum","Frontal"
6.01705694198608,-39.0584335327148,35.6368103027344,59,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Middle Cingulate Gyrus","Limbic"
-31.6749057769775,-38.1920166015625,4.06500339508057,60,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Anterior Insula","Insular"
-29.8109493255615,-2.19790267944336,3.59420108795166,61,4,"Auditory","Pink",238,169,184,"Transverse Temporal Gyrus","Temporal"
-58.3594703674316,3.87472915649414,9.79781436920166,62,4,"Auditory","Pink",238,169,184,"Supramarginal Gyrus","Parietal"
-52.1838874816895,-11.9501438140869,1.34727048873901,63,4,"Auditory","Pink",238,169,184,"Planum Temporale","Temporal"
37.2990837097168,5.99221038818359,5.68458080291748,64,4,"Auditory","Pink",238,169,184,"Parietal Operculum","Parietal"
56.7872924804688,-2.38530158996582,4.98855972290039,65,4,"Auditory","Pink",238,169,184,"Parietal Operculum","Parietal"
47.1737365722656,-3.42617988586426,-4.18955326080322,66,4,"Auditory","Pink",238,169,184,"Planum Temporale","Temporal"
-39.3796043395996,-3.11776924133301,12.1627597808838,67,4,"Auditory","Pink",238,169,184,"Parietal Operculum","Parietal"
48.3686904907227,7.85898208618164,14.0653448104858,68,4,"Auditory","Pink",238,169,184,"Cerebral White Matter",NA
51.9510803222656,-3.41113662719727,15.1387672424316,69,4,"Auditory","Pink",238,169,184,"Cerebral White Matter",NA
51.5321426391602,-18.332691192627,7.62453937530518,70,4,"Auditory","Pink",238,169,184,"Cerebral White Matter",NA
-49.7669982910156,-21.0431671142578,8.29702186584473,71,4,"Auditory","Pink",238,169,184,"Cerebral White Matter",NA
-52.8014945983887,-7.49646949768066,21.1132011413574,72,4,"Auditory","Pink",238,169,184,"Supramarginal Gyrus","Parietal"
28.9976425170898,-1.87040901184082,2.32874536514282,73,4,"Auditory","Pink",238,169,184,"Posterior Insula","Limbic"
41.2916145324707,44.0068206787109,-0.723361968994141,74,5,"Default Mode","Red",255,0,0,"Middle Occipital Gyrus","Occipital"
-4.76499032974243,-92.1027069091797,15.9868259429932,75,5,"Default Mode","Red",255,0,0,"Frontal Pole","Frontal"
-5.54553508758545,-76.9351654052734,0.408456802368164,76,5,"Default Mode","Red",255,0,0,"Cerebral White Matter",NA
12.1448831558228,7.30952453613281,-11.7665243148804,77,5,"Default Mode","Red",255,0,0,"Posterior Cingulate Gyrus","Limbic"
17.9068279266357,-88.6605758666992,10.8630256652832,78,5,"Default Mode","Red",255,0,0,"Anterior Orbital Gyrus","Frontal"
42.8610191345215,30.1267585754395,-0.666252136230469,79,5,"Default Mode","Red",255,0,0,"Cerebral White Matter",NA
-38.7010498046875,40.5774917602539,4.57078742980957,80,5,"Default Mode","Red",255,0,0,"Cerebral White Matter",NA
43.1678848266602,-47.6946029663086,-27.3824806213379,81,5,"Default Mode","Red",255,0,0,"Temporal Pole","Temporal"
-41.7948341369629,-49.6326789855957,-21.6376190185547,82,5,"Default Mode","Red",255,0,0,"Temporal Pole","Temporal"
65.5348587036133,-11.5510311126709,-20.6184730529785,83,5,"Default Mode","Red",255,0,0,"Middle Temporal Gyrus","Temporal"
56.7198066711426,-7.89700508117676,-20.6116352081299,84,14,"Uncertain","Peach",238,203,173,"Middle Temporal Gyrus","Temporal"
-23.4527282714844,-46.9401550292969,-9.56327724456787,85,14,"Uncertain","Peach",238,203,173,"Anterior Insula","Insular"
41.526050567627,37.0864944458008,10.0627899169922,86,5,"Default Mode","Red",255,0,0,"Angular Gyrus","Parietal"
38.877986907959,50.0179901123047,15.2832107543945,87,5,"Default Mode","Red",255,0,0,"Angular Gyrus","Parietal"
7.64568996429443,27.6032867431641,4.19799613952637,88,5,"Default Mode","Red",255,0,0,"Precuneus","Parietal"
-3.03100776672363,31.129524230957,12.6988315582275,89,5,"Default Mode","Red",255,0,0,"Cerebral White Matter",NA
